ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0006935,chemotaxis,80/1296,466/18888,1.75596853777036e-14,6.16315333652481e-11,4.47091283026827e-11,FLT1/TPBG/PIK3CB/SEMA4C/SEMA3D/ACKR2/DUSP1/CXCR6/NEDD9/TREM1/MIF/SLAMF1/MTUS1/PLEC/SERPINE1/KIT/C5/CYSLTR1/SLIT2/LYN/PIKFYVE/PIK3CG/BMPR2/NCKAP1L/FGF10/ENPP2/AIF1/VAV1/CX3CR1/BMP4/ADGRA2/UNC5C/S100A12/ST6GAL1/FLRT3/BIN2/VEGFC/CSF1/SEMA6A/L1CAM/C3AR1/FPR1/MPP1/ITGA9/CMKLR1/MIR223/SEMA6D/CORO1A/DOCK2/PRKD1/CXCL14/XCR1/FGF7/VEGFA/ANGPT1/COLEC10/ARRB2/CDH13/CCR7/AGTR1/CCL28/CXCL8/SLIT3/CCL8/LPAR1/CCL2/FCER1G/LEF1/TGFB1/S100A8/NRP2/PDGFRA/P2RY12/LOX/GPR183/FPR3/VCAM1/EDN1/PDGFD/SEMA5A,80
BP,GO:0042330,taxis,80/1296,468/18888,2.23545641513413e-14,6.16315333652481e-11,4.47091283026827e-11,FLT1/TPBG/PIK3CB/SEMA4C/SEMA3D/ACKR2/DUSP1/CXCR6/NEDD9/TREM1/MIF/SLAMF1/MTUS1/PLEC/SERPINE1/KIT/C5/CYSLTR1/SLIT2/LYN/PIKFYVE/PIK3CG/BMPR2/NCKAP1L/FGF10/ENPP2/AIF1/VAV1/CX3CR1/BMP4/ADGRA2/UNC5C/S100A12/ST6GAL1/FLRT3/BIN2/VEGFC/CSF1/SEMA6A/L1CAM/C3AR1/FPR1/MPP1/ITGA9/CMKLR1/MIR223/SEMA6D/CORO1A/DOCK2/PRKD1/CXCL14/XCR1/FGF7/VEGFA/ANGPT1/COLEC10/ARRB2/CDH13/CCR7/AGTR1/CCL28/CXCL8/SLIT3/CCL8/LPAR1/CCL2/FCER1G/LEF1/TGFB1/S100A8/NRP2/PDGFRA/P2RY12/LOX/GPR183/FPR3/VCAM1/EDN1/PDGFD/SEMA5A,80
BP,GO:0031589,cell-substrate adhesion,65/1296,359/18888,4.43222630794362e-13,8.14643195400037e-10,5.90963507725816e-10,COL17A1/PIK3CB/PLEKHA2/NPNT/BCL6/LIMCH1/PIK3R1/NEDD9/EGFL6/SFRP1/ITGA5/ADAM9/POSTN/PRKCE/SERPINE1/LAMC1/VIT/EFNA1/AKIP1/EPHA1/MMP14/PDPN/JUP/FN1/LYVE1/TYRO3/ITGB6/VTN/SRGAP2/DOCK5/ST6GAL1/DDR1/EPHB3/ACER2/CSF1/L1CAM/ITGA9/SDC4/CORO1A/EPHA3/EGFLAM/VEGFA/ANGPT1/COL1A1/FAT2/CASK/CDH13/CCR7/COL3A1/CCL28/FREM1/ACVRL1/SPRY4/CDH11/BVES/ANTXR1/LYPD3/LAMB1/FGG/HAS2/FBLN5/VCAM1/OLFM4/TACSTD2/EDIL3,65
BP,GO:0030198,extracellular matrix organization,61/1296,332/18888,1.21834586065851e-12,1.46609509481172e-09,1.06354377570673e-09,COL17A1/P4HA1/ERO1A/NPNT/ENG/COL27A1/LAMA2/EGFL6/POSTN/LAMC1/THSD4/ADAMTSL1/LCP1/VIT/MATN2/LAMB2/APBB2/MMP14/PDPN/TNR/MAD2L2/ADAMTSL4/POMGNT1/GFOD2/VTN/DDR1/FURIN/ELF3/PRICKLE1/COL6A1/COL1A2/ADAMTSL3/COL15A1/ADAMTS3/OLFML2B/DDR2/EGFLAM/SH3PXD2B/BCL3/COL1A1/TMEM38B/ADAMTS6/COL5A2/FMOD/COL3A1/SULF2/FAP/ANTXR1/HMCN1/LAMB1/HAS2/TGFB1/PDGFRA/FBLN5/CTSV/LOX/CRISPLD2/MMP8/MMP1/ADAMTS19/MFAP4,61
BP,GO:0043062,extracellular structure organization,61/1296,333/18888,1.39461586627973e-12,1.46609509481172e-09,1.06354377570673e-09,COL17A1/P4HA1/ERO1A/NPNT/ENG/COL27A1/LAMA2/EGFL6/POSTN/LAMC1/THSD4/ADAMTSL1/LCP1/VIT/MATN2/LAMB2/APBB2/MMP14/PDPN/TNR/MAD2L2/ADAMTSL4/POMGNT1/GFOD2/VTN/DDR1/FURIN/ELF3/PRICKLE1/COL6A1/COL1A2/ADAMTSL3/COL15A1/ADAMTS3/OLFML2B/DDR2/EGFLAM/SH3PXD2B/BCL3/COL1A1/TMEM38B/ADAMTS6/COL5A2/FMOD/COL3A1/SULF2/FAP/ANTXR1/HMCN1/LAMB1/HAS2/TGFB1/PDGFRA/FBLN5/CTSV/LOX/CRISPLD2/MMP8/MMP1/ADAMTS19/MFAP4,61
BP,GO:0045229,external encapsulating structure organization,61/1296,334/18888,1.59531566356009e-12,1.46609509481172e-09,1.06354377570673e-09,COL17A1/P4HA1/ERO1A/NPNT/ENG/COL27A1/LAMA2/EGFL6/POSTN/LAMC1/THSD4/ADAMTSL1/LCP1/VIT/MATN2/LAMB2/APBB2/MMP14/PDPN/TNR/MAD2L2/ADAMTSL4/POMGNT1/GFOD2/VTN/DDR1/FURIN/ELF3/PRICKLE1/COL6A1/COL1A2/ADAMTSL3/COL15A1/ADAMTS3/OLFML2B/DDR2/EGFLAM/SH3PXD2B/BCL3/COL1A1/TMEM38B/ADAMTS6/COL5A2/FMOD/COL3A1/SULF2/FAP/ANTXR1/HMCN1/LAMB1/HAS2/TGFB1/PDGFRA/FBLN5/CTSV/LOX/CRISPLD2/MMP8/MMP1/ADAMTS19/MFAP4,61
BP,GO:0070482,response to oxygen levels,63/1296,354/18888,2.24507431096293e-12,1.76847710723566e-09,1.28289960626453e-09,NDRG1/LEP/PIK3CB/ERO1A/LIMD1/INHBA/HK2/HILPDA/PLOD2/HSD11B2/EGLN3/AK4/ABAT/DNMT3A/ARNT2/SFRP1/SLC2A1/POSTN/PRKCE/EGLN1/CPEB4/CYBB/BAD/NPEPPS/ASCL2/CYSLTR1/AQP1/MMP14/GUCY1A2/PMAIP1/SUV39H1/ITPR1/GUCY1A1/NFE2L2/CITED2/ZEB2/STC2/FOSL2/PDK1/HMOX1/HYOU1/GUCY1B1/VEGFC/COL6A1/CRYAB/SLC1A1/HSPG2/MIR223/DDR2/AIFM1/PTGIS/VEGFA/DDIT4/COL1A1/ACVRL1/MYOCD/LPAR1/TGFB1/CAT/STC1/VCAM1/NDP/EDN1,63
BP,GO:0036293,response to decreased oxygen levels,58/1296,327/18888,1.94562189514155e-11,1.34101989122631e-08,9.72810947570775e-09,NDRG1/LEP/PIK3CB/ERO1A/LIMD1/INHBA/HK2/HILPDA/PLOD2/HSD11B2/EGLN3/AK4/ABAT/DNMT3A/ARNT2/SFRP1/SLC2A1/POSTN/PRKCE/EGLN1/CPEB4/CYBB/BAD/NPEPPS/ASCL2/CYSLTR1/AQP1/MMP14/PMAIP1/SUV39H1/ITPR1/NFE2L2/CITED2/ZEB2/STC2/FOSL2/PDK1/HMOX1/HYOU1/VEGFC/COL6A1/CRYAB/SLC1A1/HSPG2/MIR223/DDR2/AIFM1/PTGIS/VEGFA/DDIT4/ACVRL1/MYOCD/TGFB1/CAT/STC1/VCAM1/NDP/EDN1,58
BP,GO:0002685,regulation of leukocyte migration,46/1296,230/18888,3.78301503094449e-11,2.20429357755417e-08,1.59905228694535e-08,PIK3R1/DUSP1/SELE/NEDD9/MIF/ECM1/SLAMF1/MTUS1/DOCK8/SERPINE1/ASCL2/CD200R1/C5/BMP5/SLIT2/LYN/MMP14/NCKAP1L/AIF1/LYVE1/ST3GAL4/KITLG/HMOX1/CX3CR1/VEGFC/CSF1/C3AR1/MPP1/CMKLR1/MIR223/CORO1A/CD9/VEGFA/CCR7/CCL28/PLCB1/CXCL8/CCL8/CCL2/GCNT1/P2RY12/SELP/XG/IL33/EDN1/PDGFD,46
BP,GO:0050900,leukocyte migration,65/1296,396/18888,3.99763071736338e-11,2.20429357755417e-08,1.59905228694535e-08,FLT1/LEP/PIK3R1/DUSP1/SELE/NEDD9/TREM1/MIF/ECM1/SLAMF1/MTUS1/PLEC/DOCK8/SERPINE1/ASCL2/KIT/CD200R1/C5/BMP5/SLIT2/LYN/PIKFYVE/MMP14/PIK3CG/NCKAP1L/AIF1/LYVE1/GATA3/VAV1/ST3GAL4/KITLG/HMOX1/CX3CR1/ASB2/S100A12/VEGFC/CSF1/C3AR1/MPP1/ITGA9/CMKLR1/MIR223/CORO1A/CD9/VEGFA/HCK/CCR7/CCL28/PLCB1/CXCL8/CCL8/CCL2/FCER1G/SELL/GCNT1/S100A8/P2RY12/SELP/XG/CD177/GPR183/VCAM1/IL33/EDN1/PDGFD,65
