category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,39/699,203/8842,1.39493613988862e-07,3.07772718633109e-05,2.38613579526457e-05,2321/2317/5291/5295/3908/54776/3678/5599/3479/572/3915/2002/3913/7143/894/10319/595/2335/7409/3694/8395/7448/3918/5578/7424/56034/1291/4638/53358/1278/3680/7422/1277/1293/3912/5156/3910/6696/80310,39
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,25/699,101/8842,1.8429504109767e-07,3.07772718633109e-05,2.38613579526457e-05,5291/5295/6401/5599/5581/1536/5054/51196/595/2335/5578/7424/1278/7048/7422/1277/1281/185/23236/3576/50507/6347/7040/7412/1906,25
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,56/699,362/8842,6.64209155697336e-07,7.1174501662573e-05,5.51809877371351e-05,2321/5291/4915/5295/118788/54331/3908/3678/3479/572/3915/3815/1942/1443/3913/5294/7143/894/2255/10319/595/2335/4254/3694/7448/3918/5578/7424/56034/1435/1291/1278/3680/92579/2252/7422/54541/284/2791/1277/3560/1293/7099/1902/3912/9180/3561/9623/5156/2254/3910/5617/6696/80310/2149/2690,56
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,22/699,89/8842,1.02780565988085e-06,7.1174501662573e-05,5.51809877371351e-05,255743/3908/3678/3915/3913/7143/10319/2335/3694/7448/3918/1291/1278/3339/3680/6385/1277/158326/1293/3912/3910/6696,22
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,24/699,103/8842,1.06548655183493e-06,7.1174501662573e-05,5.51809877371351e-05,5291/5295/3908/5272/3915/3913/10319/7850/2335/3918/5578/9630/1278/1277/5567/1281/23236/3576/7099/5273/3912/7040/3910/384,24
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,23/699,109/8842,1.06254811264783e-05,0.000572442299242133,0.000443809661561818,2321/5291/3939/3099/5295/112399/226/2597/6513/3479/54583/8569/1536/5054/5214/5163/3162/5578/7422/284/7099/3945/1906,23
Organismal Systems,Immune system,hsa04611,Platelet activation,25/699,125/8842,1.19972936966914e-05,0.000572442299242133,0.000443809661561818,5291/5295/113/4067/5592/2977/5294/3708/2982/5028/2983/4638/3710/1278/6916/1277/5567/1281/3937/23236/109/2207/2266/64805/2149,25
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,20/699,98/8842,6.53958060906645e-05,0.00273027490428524,0.00211675898661888,23683/801/949/3284/5581/113/476/1583/3708/3762/5578/3710/5587/5567/185/23236/109/490/481/3949,20
Organismal Systems,Endocrine system,hsa04913,Ovarian steroidogenesis,13/699,51/8842,0.000119761297049907,0.00444447480162987,0.00344576363441837,3292/1573/949/3284/3479/113/1583/654/3294/122970/5567/109/3949,13
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,20/699,105/8842,0.000178087227829257,0.00594811340949717,0.00461152189957865,1308/4311/117247/85301/476/7512/1291/1278/81578/6505/1306/8645/6546/1277/1290/1281/1293/481/9056/6564,20
Environmental Information Processing,Signal transduction,hsa04070,Phosphatidylinositol signaling system,19/699,98/8842,0.000201852594181471,0.00612897876878284,0.00475174527929587,4952/5291/253430/801/5295/51196/200576/9110/3708/55529/8395/5578/22876/9107/3710/23262/23236/55613/5287,19
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,27/699,166/8842,0.000236798641410415,0.00659089551925654,0.00510986541990895,801/8654/5581/572/113/476/5592/2977/5294/3708/2982/292/2983/4638/4208/3710/152/4773/6546/7225/185/23236/109/5139/155/490/481,27
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,32/699,212/8842,0.000270478152008746,0.00694920790545547,0.00538766197523494,2321/5291/23683/801/5295/3479/3815/51196/1942/113/2255/5028/7409/4254/5578/7424/56034/1435/26037/2357/5587/2252/7422/284/3937/23236/109/1902/5156/2254/80310/2149,32
Metabolism,Amino acid metabolism,hsa00250,"Alanine, aspartate and glutamate metabolism",10/699,37/8842,0.000436270437662761,0.0104081661556687,0.00806936298233378,84706/18/2805/8659/284716/443/2752/9945/445/1373,10
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,13/699,58/8842,0.00047381166013279,0.0104406122998012,0.00809451820280839,2878/2730/2940/27306/373156/2941/9588/2936/3417/5226/2882/290/2947,13
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,22/699,130/8842,0.000500149092206047,0.0104406122998012,0.00809451820280839,5291/5295/54331/5599/113/5578/7424/53358/1278/7048/7422/2791/409/1277/5567/1281/23236/109/7040/59/1906/4312,22
